Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp_Difference,Power,Wear_Ratio
2,298.9,309.2,1412,44.1,140,0,10.300000000000011,62269.2,0.0991501416430594
1,298.9,309.1,2861,4.6,143,1,10.200000000000044,13160.6,0.0499825235931492
1,298.9,309.1,1383,54.9,145,0,10.200000000000044,75926.7,0.1048445408532176
0,298.8,309.0,1497,43.8,147,0,10.199999999999989,65568.59999999999,0.0981963927855711
1,298.7,309.0,1565,35.1,152,0,10.300000000000011,54931.5,0.0971246006389776
1,298.7,309.0,1691,30.1,154,0,10.300000000000011,50899.100000000006,0.091070372560615
1,298.8,309.1,1512,40.7,156,0,10.300000000000011,61538.4,0.1031746031746031
1,298.8,309.1,1477,42.4,158,0,10.300000000000011,62624.8,0.1069735951252539
1,298.8,309.1,1513,40.3,160,0,10.300000000000011,60973.9,0.1057501652346331
2,298.8,309.0,1661,29.5,162,0,10.199999999999989,48999.5,0.0975316074653823
1,298.8,309.1,1378,54.4,165,0,10.300000000000011,74963.2,0.1197387518142235
1,298.8,309.1,1393,52.6,167,0,10.300000000000011,73271.8,0.1198851399856425
2,298.8,309.0,1592,38.2,169,0,10.199999999999989,60814.4,0.1061557788944723
1,298.8,309.0,1829,22.9,172,0,10.199999999999989,41884.1,0.0940404592673592
2,298.9,309.0,1812,25.9,174,0,10.100000000000025,46930.8,0.0960264900662251
1,299.0,309.1,1523,38.6,177,0,10.100000000000025,58787.8,0.1162179908076165
1,299.0,309.1,1394,45.1,179,0,10.100000000000025,62869.4,0.1284074605451937
2,298.9,308.9,1679,28.7,181,0,10.0,48187.3,0.1078022632519356
0,298.8,308.9,1466,44.1,184,0,10.099999999999966,64650.6,0.1255115961800818
1,298.8,308.9,1527,32.4,189,0,10.099999999999966,49474.8,0.1237721021611002
1,298.9,309.0,1410,65.7,191,1,10.100000000000025,92637.0,0.1354609929078014
2,298.9,309.0,1924,22.6,193,0,10.100000000000025,43482.4,0.1003118503118503
1,298.9,309.1,1452,45.5,196,0,10.200000000000044,66066.0,0.1349862258953168
1,298.9,309.1,1369,44.4,198,0,10.200000000000044,60783.6,0.1446311176040906
1,299.0,309.1,1592,35.0,200,0,10.100000000000025,55720.0,0.1256281407035175
1,298.9,309.0,1601,32.3,202,0,10.100000000000025,51712.3,0.1261711430356027
1,298.8,308.9,1379,46.7,204,0,10.099999999999966,64399.3,0.1479332849891225
1,298.8,308.9,1461,47.9,206,0,10.099999999999966,69981.9,0.1409993155373032
1,298.8,308.9,1455,41.3,208,1,10.099999999999966,60091.49999999999,0.1429553264604811
1,298.8,308.9,1398,51.5,0,0,10.099999999999966,71997.0,0.0
1,298.8,308.9,1402,37.9,2,0,10.099999999999966,53135.8,0.0014265335235378
0,298.8,308.8,1445,49.9,4,0,10.0,72105.5,0.0027681660899653
1,298.9,308.9,1450,47.5,9,0,10.0,68875.0,0.0062068965517241
1,298.9,308.9,1453,40.8,11,0,10.0,59282.4,0.0075705437026841
1,299.0,309.0,1469,40.1,13,0,10.0,58906.9,0.0088495575221238
1,298.9,308.9,1422,47.6,15,0,10.0,67687.2,0.010548523206751
2,299.0,309.0,1804,26.8,17,0,10.0,48347.2,0.0094235033259423
0,299.0,309.0,1436,43.9,20,0,10.0,63040.4,0.0139275766016713
1,299.0,309.0,1544,31.8,25,0,10.0,49099.2,0.0161917098445595
2,299.0,309.0,1419,45.2,27,0,10.0,64138.8,0.0190274841437632
2,298.9,308.9,1487,39.5,30,0,10.0,58736.5,0.0201748486886348
1,298.9,308.9,1753,25.8,33,0,10.0,45227.4,0.0188248716486023
1,298.9,308.9,1830,24.9,35,0,10.0,45567.0,0.0191256830601092
2,298.9,308.9,1727,27.1,37,0,10.0,46801.7,0.0214244354371742
1,299.1,309.0,1450,43.0,40,0,9.899999999999975,62350.0,0.0275862068965517
1,299.0,308.9,1622,31.9,42,0,9.899999999999975,51741.8,0.0258939580764488
2,299.0,309.0,1351,52.2,44,0,10.0,70522.2,0.0325684678016284
2,299.0,309.0,1575,35.3,47,0,10.0,55597.49999999999,0.0298412698412698
2,298.9,308.9,1750,29.9,50,0,10.0,52325.0,0.0285714285714285
1,298.9,308.8,1529,32.7,53,0,9.900000000000034,49998.3,0.0346631785480706
1,298.8,308.8,1523,44.4,55,0,10.0,67621.2,0.036112934996717
1,298.8,308.9,1852,25.0,57,0,10.099999999999966,46300.0,0.0307775377969762
1,298.8,308.8,1991,20.7,59,0,10.0,41213.7,0.029633350075339
1,298.8,308.8,1555,40.6,61,0,10.0,63133.0,0.0392282958199356
2,298.8,308.8,1441,40.5,63,0,10.0,58360.5,0.0437196391394864
1,298.8,308.7,1450,43.4,66,0,9.899999999999975,62930.0,0.0455172413793103
1,298.8,308.7,1591,31.1,68,0,9.899999999999975,49480.100000000006,0.042740414833438
1,298.8,308.7,1445,48.5,70,0,9.899999999999975,70082.5,0.0484429065743944
2,298.8,308.8,1497,46.8,72,0,10.0,70059.59999999999,0.0480961923847695
0,298.9,308.8,1621,32.7,75,0,9.900000000000034,53006.7,0.0462677359654534
1,298.9,308.7,1572,34.1,80,0,9.800000000000011,53605.2,0.0508905852417302
1,298.8,308.6,1872,22.5,82,0,9.800000000000011,42120.0,0.0438034188034188
0,298.7,308.6,1499,43.5,84,0,9.900000000000034,65206.5,0.0560373582388258
2,298.8,308.7,1498,39.5,89,0,9.899999999999975,59171.0,0.0594125500667556
2,298.8,308.6,1486,41.9,92,0,9.800000000000011,62263.4,0.0619111709286675
1,298.8,308.6,1680,29.4,95,0,9.800000000000011,49392.0,0.056547619047619
1,298.8,308.6,1431,45.7,97,0,9.800000000000011,65396.7,0.0677847658979734
1,298.9,308.7,1564,34.1,99,0,9.800000000000011,53332.4,0.0632992327365729
1,298.8,308.6,1599,33.0,101,0,9.800000000000011,52767.0,0.0631644777986241
2,298.8,308.6,1707,28.1,103,0,9.800000000000011,47966.7,0.060339777387229
1,298.7,308.5,1467,40.7,106,0,9.800000000000011,59706.9,0.0722563053851397
1,298.9,308.7,1433,44.7,108,0,9.800000000000011,64055.100000000006,0.0753663642707606
1,298.9,308.7,1558,41.2,110,0,9.800000000000011,64189.600000000006,0.0706033376123234
1,299.0,308.8,1310,50.7,112,0,9.800000000000011,66417.0,0.0854961832061068
1,298.9,308.7,1546,43.4,114,0,9.800000000000011,67096.4,0.0737386804657179
1,298.9,308.7,1727,29.4,116,0,9.800000000000011,50773.8,0.0671685002895194
1,298.9,308.6,1560,32.2,118,0,9.700000000000044,50232.00000000001,0.0756410256410256
1,299.0,308.6,1329,60.5,120,0,9.600000000000025,80404.5,0.0902934537246049
1,298.9,308.6,1413,46.5,122,0,9.700000000000044,65704.5,0.0863411181882519
1,299.0,308.6,1587,38.6,124,0,9.600000000000025,61258.2,0.0781348456206679
1,298.9,308.5,1559,34.3,126,0,9.600000000000025,53473.7,0.0808210391276459
1,298.8,308.4,1473,41.1,128,0,9.599999999999966,60540.3,0.086897488119484
1,298.8,308.4,1737,27.7,130,0,9.599999999999966,48114.9,0.0748416810592976
2,298.7,308.4,1441,43.2,132,0,9.699999999999989,62251.2,0.0916030534351145
2,298.7,308.4,1430,49.6,135,0,9.699999999999989,70928.0,0.0944055944055944
1,298.8,308.4,1369,53.0,138,0,9.599999999999966,72557.0,0.1008035062089116
2,298.8,308.5,1711,28.5,140,0,9.699999999999989,48763.5,0.0818234950321449
0,298.7,308.5,1420,45.7,143,0,9.800000000000011,64894.00000000001,0.1007042253521126
1,298.7,308.6,1297,55.3,148,0,9.900000000000034,71724.09999999999,0.1141094834232845
0,298.8,308.6,1449,49.4,150,0,9.800000000000011,71580.59999999999,0.10351966873706
1,298.8,308.6,1268,55.8,155,0,9.800000000000011,70754.4,0.1222397476340694
1,298.8,308.6,1511,36.1,157,0,9.800000000000011,54547.1,0.1039046988749172
1,298.7,308.5,1544,35.2,159,0,9.800000000000011,54348.8,0.1029792746113989
2,298.6,308.4,1778,28.2,161,0,9.799999999999956,50139.6,0.0905511811023622
0,298.6,308.4,1407,50.5,164,0,9.799999999999956,71053.5,0.1165600568585643
2,298.6,308.4,1391,42.4,169,0,9.799999999999956,58978.4,0.1214953271028037
1,298.5,308.4,1513,33.6,172,0,9.899999999999975,50836.8,0.1136814276272306
0,298.5,308.4,1612,36.1,174,0,9.899999999999975,58193.2,0.107940446650124
1,298.4,308.4,1515,40.1,179,0,10.0,60751.5,0.1181518151815181
2,298.3,308.3,1379,48.0,181,0,10.0,66192.0,0.1312545322697607
1,298.4,308.3,1473,39.9,184,0,9.900000000000034,58772.7,0.1249151391717583
1,298.4,308.3,1422,42.7,186,0,9.900000000000034,60719.4,0.1308016877637131
2,298.4,308.2,1463,37.6,188,0,9.800000000000011,55008.8,0.1285030758714969
2,298.4,308.2,1584,41.0,191,0,9.800000000000011,64944.0,0.120580808080808
1,298.4,308.2,1850,27.0,194,0,9.800000000000011,49950.0,0.1048648648648648
1,298.4,308.2,1528,36.2,196,0,9.800000000000011,55313.600000000006,0.1282722513089005
0,298.4,308.2,1987,19.8,198,0,9.800000000000011,39342.6,0.0996477101157524
2,298.4,308.1,1495,46.0,203,0,9.700000000000044,68770.0,0.1357859531772575
0,298.4,308.2,1478,43.5,206,0,9.800000000000011,64293.0,0.1393775372124492
2,298.4,308.2,1499,40.0,211,0,9.800000000000011,59960.0,0.1407605070046697
1,298.4,308.2,1471,47.0,214,0,9.800000000000011,69137.0,0.1454792658055744
1,298.4,308.2,1282,60.7,216,1,9.800000000000011,77817.40000000001,0.1684867394695788
1,298.3,308.1,1412,52.3,218,1,9.800000000000011,73847.59999999999,0.1543909348441926
1,298.3,308.1,1586,35.5,0,0,9.800000000000011,56303.0,0.0
2,298.4,308.2,1468,43.8,2,0,9.800000000000011,64298.4,0.0013623978201634
2,298.5,308.3,1440,43.6,5,0,9.800000000000011,62784.0,0.0034722222222222
1,298.5,308.4,1733,26.0,8,0,9.899999999999975,45058.0,0.0046162723600692
0,298.4,308.2,1612,32.6,10,0,9.800000000000011,52551.2,0.0062034739454094
0,298.4,308.3,1458,42.9,15,0,9.900000000000034,62548.2,0.0102880658436214
1,298.4,308.3,1433,62.3,20,1,9.900000000000034,89275.9,0.0139567341242149
1,298.4,308.3,1318,59.1,22,0,9.900000000000034,77893.8,0.0166919575113808
2,298.4,308.2,1610,35.0,24,0,9.800000000000011,56350.0,0.0149068322981366
1,298.2,308.1,1462,50.8,27,0,9.900000000000034,74269.59999999999,0.0184678522571819
2,298.1,308.0,1924,20.8,29,0,9.899999999999975,40019.2,0.015072765072765
2,298.2,308.0,1591,33.7,32,0,9.800000000000011,53616.7,0.0201131363922061
1,298.2,308.1,1306,58.3,35,0,9.900000000000034,76139.8,0.0267993874425727
1,298.2,308.1,1382,43.5,37,0,9.900000000000034,60117.0,0.0267727930535455
1,298.2,308.1,1618,34.7,39,0,9.900000000000034,56144.600000000006,0.0241038318912237
1,298.2,308.2,1988,21.4,41,0,10.0,42543.2,0.0206237424547283
1,298.2,308.2,1436,50.2,43,0,10.0,72087.2,0.0299442896935933
1,298.2,308.3,1304,49.8,45,0,10.100000000000025,64939.2,0.0345092024539877
1,298.2,308.3,1475,49.9,47,0,10.100000000000025,73602.5,0.031864406779661
0,298.2,308.3,1824,24.2,49,0,10.100000000000025,44140.8,0.0268640350877193
2,298.1,308.2,1342,48.1,54,0,10.099999999999966,64550.2,0.0402384500745156
1,298.1,308.2,1485,40.7,57,0,10.099999999999966,60439.50000000001,0.0383838383838383
1,298.2,308.2,1667,30.6,59,0,10.0,51010.2,0.0353929214157168
1,298.2,308.2,1446,38.2,61,0,10.0,55237.2,0.0421853388658367
1,298.1,308.3,1301,56.0,63,0,10.199999999999989,72856.0,0.048424289008455
1,298.2,308.4,1379,43.1,65,0,10.199999999999989,59434.9,0.04713560551124
1,298.3,308.5,1606,33.6,67,0,10.199999999999989,53961.600000000006,0.0417185554171855
2,298.3,308.4,1539,43.4,69,0,10.099999999999966,66792.59999999999,0.0448343079922027
1,298.2,308.4,1477,49.9,72,0,10.199999999999989,73702.3,0.0487474610697359
1,298.2,308.4,1666,34.6,74,0,10.199999999999989,57643.600000000006,0.0444177671068427
0,298.2,308.4,1398,51.8,76,0,10.199999999999989,72416.4,0.0543633762517882
0,298.2,308.4,1678,34.6,81,0,10.199999999999989,58058.8,0.0482717520858164
2,298.2,308.5,2678,10.7,86,1,10.300000000000011,28654.6,0.0321135175504107
1,298.3,308.5,1453,42.9,89,0,10.199999999999989,62333.7,0.0612525808671713
0,298.3,308.6,1432,49.5,91,0,10.300000000000011,70884.0,0.0635474860335195
2,298.4,308.6,1527,40.9,96,0,10.200000000000044,62454.3,0.0628683693516699
1,298.4,308.7,1588,35.0,99,0,10.300000000000011,55580.0,0.0623425692695214
1,298.4,308.6,1433,47.1,101,0,10.200000000000044,67494.3,0.0704815073272854
1,298.4,308.6,1609,35.0,103,0,10.200000000000044,56315.0,0.0640149160969546
1,298.3,308.5,1575,41.2,105,0,10.199999999999989,64890.00000000001,0.0666666666666666
2,298.4,308.5,1636,35.7,107,0,10.100000000000025,58405.2,0.065403422982885
1,298.4,308.5,1490,37.9,110,0,10.100000000000025,56471.0,0.0738255033557047
1,298.4,308.5,1741,32.8,112,0,10.100000000000025,57104.8,0.064330844342332
2,298.5,308.6,1344,53.0,114,0,10.100000000000025,71232.0,0.0848214285714285
1,298.5,308.7,1609,35.3,117,0,10.199999999999989,56797.7,0.0727159726538222
2,298.4,308.7,1421,60.7,119,1,10.300000000000011,86254.7,0.083743842364532
1,298.4,308.6,1591,36.7,122,0,10.200000000000044,58389.7,0.0766813324952859
1,298.4,308.6,1477,44.0,124,0,10.200000000000044,64988.0,0.0839539607312119
1,298.4,308.7,1523,36.1,126,0,10.300000000000011,54980.3,0.082731451083388
1,298.5,308.7,1575,33.9,128,0,10.199999999999989,53392.5,0.0812698412698412
0,298.4,308.7,1344,52.9,130,0,10.300000000000011,71097.59999999999,0.0967261904761904
1,298.4,308.7,1386,44.9,135,0,10.300000000000011,62231.4,0.0974025974025974
2,298.3,308.6,1589,37.1,137,0,10.300000000000011,58951.9,0.0862177470106985
1,298.3,308.6,1548,40.3,140,0,10.300000000000011,62384.4,0.0904392764857881
1,298.3,308.6,1499,38.3,142,0,10.300000000000011,57411.7,0.0947298198799199
1,298.3,308.5,1664,31.6,144,0,10.199999999999989,52582.4,0.0865384615384615
1,298.3,308.6,1447,38.1,146,0,10.300000000000011,55130.7,0.100898410504492
2,298.3,308.5,1434,46.2,148,0,10.199999999999989,66250.8,0.103207810320781
1,298.3,308.5,1416,52.7,151,0,10.199999999999989,74623.2,0.106638418079096
0,298.4,308.5,1827,24.3,153,0,10.100000000000025,44396.1,0.083743842364532
1,298.4,308.6,1304,45.0,158,0,10.200000000000044,58680.0,0.1211656441717791
1,298.4,308.6,1569,34.4,160,0,10.200000000000044,53973.6,0.1019757807520713
1,298.3,308.6,1584,29.3,162,0,10.300000000000011,46411.2,0.1022727272727272
1,298.3,308.5,1362,53.8,164,0,10.199999999999989,73275.59999999999,0.1204111600587371
1,298.3,308.4,1329,49.2,166,0,10.099999999999966,65386.8,0.1249059443190368
1,298.3,308.5,1539,36.1,168,0,10.199999999999989,55557.9,0.1091617933723196
2,298.3,308.5,1629,37.1,170,0,10.199999999999989,60435.9,0.1043585021485574
1,298.3,308.5,1538,32.2,173,0,10.199999999999989,49523.600000000006,0.112483745123537
1,298.3,308.6,1570,34.8,175,0,10.300000000000011,54635.99999999999,0.1114649681528662
1,298.3,308.4,1408,43.1,177,0,10.099999999999966,60684.8,0.1257102272727272
1,298.2,308.4,1424,47.6,179,0,10.199999999999989,67782.40000000001,0.1257022471910112
1,298.2,308.4,1512,34.9,181,0,10.199999999999989,52768.8,0.1197089947089947
1,298.2,308.4,1478,42.9,183,0,10.199999999999989,63406.2,0.1238159675236806
2,298.1,308.3,1680,33.7,185,0,10.199999999999989,56616.00000000001,0.1101190476190476
1,298.1,308.3,1495,38.7,188,0,10.199999999999989,57856.50000000001,0.125752508361204
2,298.0,308.1,1552,36.6,190,0,10.100000000000025,56803.2,0.1224226804123711
1,297.9,308.1,1393,50.3,193,0,10.200000000000044,70067.9,0.1385498923187365
1,298.0,308.2,1611,30.6,195,0,10.199999999999989,49296.600000000006,0.1210428305400372
2,298.0,308.1,1339,51.6,197,0,10.100000000000025,69092.40000000001,0.1471247199402539
1,298.0,308.1,1777,24.3,200,0,10.100000000000025,43181.1,0.112549240292628
1,298.0,308.2,1348,58.8,202,1,10.199999999999989,79262.4,0.1498516320474777
1,298.0,308.2,1442,44.1,204,0,10.199999999999989,63592.2,0.1414701803051317
2,298.0,308.2,1395,49.1,206,0,10.199999999999989,68494.5,0.1476702508960573
2,297.9,308.1,1627,31.4,209,0,10.200000000000044,51087.8,0.1284572833435771
1,297.9,308.1,1585,33.5,212,0,10.200000000000044,53097.5,0.1337539432176656
1,298.0,308.2,1469,45.5,214,0,10.199999999999989,66839.5,0.1456773315180395
1,298.0,308.3,1362,56.8,216,1,10.300000000000011,77361.59999999999,0.158590308370044
1,298.0,308.3,1405,56.2,218,1,10.300000000000011,78961.0,0.1551601423487544
1,298.0,308.3,1662,32.7,0,0,10.300000000000011,54347.4,0.0
2,298.0,308.2,1466,42.6,2,0,10.199999999999989,62451.6,0.0013642564802182
1,298.0,308.2,1620,35.8,5,0,10.199999999999989,57995.99999999999,0.0030864197530864
1,298.0,308.2,1357,48.2,7,0,10.199999999999989,65407.4,0.0051584377302873
1,298.0,308.2,1514,37.9,9,0,10.199999999999989,57380.6,0.0059445178335535
1,298.0,308.2,1489,40.4,11,0,10.199999999999989,60155.6,0.0073875083948959
1,298.1,308.3,1331,63.0,13,0,10.199999999999989,83853.0,0.0097670924117205
1,298.0,308.0,1615,29.5,15,0,10.0,47642.5,0.0092879256965944
1,298.1,308.2,1482,37.9,17,0,10.099999999999966,56167.8,0.0114709851551956
2,298.1,308.2,1420,63.9,19,1,10.099999999999966,90738.0,0.0133802816901408
2,298.2,308.3,1522,49.1,22,0,10.100000000000025,74730.2,0.014454664914586
1,298.1,308.2,1654,32.1,25,0,10.099999999999966,53093.4,0.0151148730350665
2,298.1,308.2,1736,26.8,27,0,10.099999999999966,46524.8,0.015552995391705
2,298.0,308.1,1587,32.3,30,0,10.100000000000025,51260.1,0.0189035916824196
1,298.1,308.2,1390,47.5,33,0,10.099999999999966,66025.0,0.0237410071942446
1,298.0,308.1,1454,37.1,35,0,10.100000000000025,53943.4,0.0240715268225584
0,298.0,308.1,1440,43.7,37,0,10.100000000000025,62928.00000000001,0.0256944444444444
1,297.9,308.0,1954,21.1,42,0,10.100000000000025,41229.4,0.0214943705220061
0,297.9,308.0,1800,24.8,44,0,10.100000000000025,44640.0,0.0244444444444444
1,298.0,308.0,1524,37.0,49,0,10.0,56388.0,0.0321522309711286
0,298.0,308.0,1520,39.6,51,0,10.0,60192.0,0.0335526315789473
2,298.1,308.1,1452,40.8,56,0,10.0,59241.6,0.0385674931129476
1,298.1,308.1,1484,40.4,59,0,10.0,59953.6,0.0397574123989218
1,298.1,308.0,1426,46.0,61,0,9.899999999999975,65596.0,0.0427769985974754
1,298.1,308.0,1652,28.5,63,0,9.899999999999975,47082.0,0.0381355932203389
1,298.0,308.0,1401,54.7,65,0,10.0,76634.7,0.046395431834404
2,298.0,307.9,1750,26.6,67,0,9.899999999999975,46550.0,0.0382857142857142
0,298.0,308.0,1479,50.7,70,0,10.0,74985.3,0.0473292765382014
2,298.0,308.0,1620,29.4,75,0,10.0,47628.0,0.0462962962962962
1,298.0,308.1,1819,23.4,78,0,10.100000000000025,42564.6,0.0428807036833424
2,298.1,308.1,1456,43.7,80,0,10.0,63627.2,0.0549450549450549
1,298.1,308.0,1626,36.5,83,0,9.899999999999975,59349.0,0.0510455104551045
2,298.1,308.1,1390,49.8,85,0,10.0,69222.0,0.0611510791366906
1,298.2,308.2,1469,43.0,88,0,10.0,63167.0,0.0599046970728386
1,298.2,308.3,2051,19.2,90,0,10.100000000000025,39379.2,0.0438810336421257
1,298.2,308.3,1568,36.0,92,0,10.100000000000025,56448.0,0.0586734693877551
1,298.2,308.3,1589,33.2,94,0,10.100000000000025,52754.8,0.0591567023285085
1,298.2,308.3,1805,31.6,96,0,10.100000000000025,57038.0,0.053185595567867
0,298.2,308.4,1385,42.2,98,0,10.199999999999989,58447.00000000001,0.0707581227436823
1,298.1,308.4,1436,46.7,103,0,10.299999999999956,67061.2,0.0717270194986072
1,298.1,308.4,1438,45.6,105,0,10.299999999999956,65572.8,0.0730180806675938
1,298.0,308.3,1473,42.6,107,0,10.300000000000011,62749.8,0.0726408689748812
1,298.1,308.4,1335,40.2,109,0,10.299999999999956,53667.00000000001,0.0816479400749063
0,298.1,308.5,1392,44.8,111,0,10.399999999999975,62361.6,0.0797413793103448
2,298.1,308.5,1372,51.1,116,0,10.399999999999975,70109.2,0.0845481049562682
2,298.1,308.6,1716,30.7,119,0,10.5,52681.2,0.0693473193473193
1,298.0,308.5,1395,46.2,122,0,10.5,64449.00000000001,0.0874551971326164
1,298.0,308.5,1713,25.3,124,0,10.5,43338.9,0.0723876240513718
0,297.9,308.5,2129,18.7,126,0,10.600000000000025,39812.3,0.0591827148896195
2,297.8,308.3,1567,35.6,131,0,10.5,55785.2,0.0835992342054881
1,297.8,308.4,1622,38.3,134,0,10.599999999999966,62122.6,0.0826140567200986
1,297.7,308.4,1740,27.1,136,0,10.699999999999989,47154.0,0.0781609195402298
0,297.8,308.4,1512,35.1,138,0,10.599999999999966,53071.2,0.0912698412698412
2,297.8,308.4,1479,43.5,143,0,10.599999999999966,64336.5,0.0966869506423259
1,297.8,308.4,1737,27.5,146,0,10.599999999999966,47767.5,0.0840529648819804
1,297.8,308.4,2129,19.2,148,0,10.599999999999966,40876.8,0.0695162047909816
1,297.8,308.4,1374,47.1,150,0,10.599999999999966,64715.4,0.1091703056768559
2,297.8,308.4,1579,36.6,152,0,10.599999999999966,57791.4,0.0962634578847371
1,297.9,308.5,1305,47.2,155,0,10.600000000000025,61596.00000000001,0.1187739463601532
2,297.9,308.5,1449,40.8,157,0,10.600000000000025,59119.2,0.1083505866114561
0,298.0,308.6,1526,41.8,160,0,10.600000000000025,63786.8,0.1048492791612057
2,298.0,308.6,1453,44.1,165,0,10.600000000000025,64077.3,0.1135581555402615
1,297.9,308.6,1468,36.0,168,0,10.700000000000044,52848.0,0.1144414168937329
1,298.0,308.6,1313,50.8,170,0,10.600000000000025,66700.4,0.1294744859101294
2,297.9,308.5,1300,53.0,172,0,10.600000000000025,68900.0,0.1323076923076923
1,297.9,308.4,1646,40.6,175,0,10.5,66827.6,0.106318347509113
1,297.8,308.4,1714,33.2,177,0,10.599999999999966,56904.8,0.1032672112018669
1,297.8,308.4,1685,28.4,179,0,10.599999999999966,47854.0,0.1062314540059347
1,297.8,308.4,1512,39.9,181,0,10.599999999999966,60328.8,0.1197089947089947
1,297.8,308.4,1612,32.1,183,0,10.599999999999966,51745.2,0.1135235732009925
0,297.8,308.4,1550,38.2,185,0,10.599999999999966,59210.00000000001,0.1193548387096774
1,297.8,308.4,1518,32.5,190,0,10.599999999999966,49335.0,0.1251646903820817
1,297.8,308.5,1448,40.0,192,0,10.699999999999989,57920.0,0.1325966850828729
1,297.8,308.5,1561,46.3,194,0,10.699999999999989,72274.29999999999,0.1242793081358103
2,297.8,308.5,1488,41.9,196,0,10.699999999999989,62347.2,0.1317204301075268
